zona,quartos,area,preco
sul,1,45,950
sul,3,217,7000
sul,4,320,7000
sul,5,398,7000
sul,,185,7000
sul,3,270,7000
sul,5,270,7000
sul,,80,7000
sul,5,250,7000
sul,2,120,2500
sul,,152,7000
sul,4,300,7000
sul,1,40,850
sul,1,30,600
sul,2,70,1800
sul,2,60,1300
sul,2,60,1600
sul,2,250,1200
sul,1,30,1100
sul,,386,20000
sul,1,60,1200
sul,1,40,900
sul,1,20,500
sul,1,30,700
sul,2,60,1700
sul,3,500,6000
sul,3,250,1600000
sul,2,90,1700
sul,4,170,3200
sul,3,445,7000
sul,5,200,7000
sul,1,160,7000
sul,3,240,7000
sul,5,500,7000
sul,1,25,600
sul,3,150,7000
sul,1,25,600
sul,1,30,650
sul,2,80,1000
sul,2,90,950
sul,3,420,3300
sul,2,106,4500
sul,,220,22000
sul,2,69,2700
sul,1,30,400
sul,2,120,1700
sul,3,45,1000
sul,2,230,1700
sul,2,86,2000
sul,1,23,1250
sul,4,295,12100
sul,4,140,13100
sul,4,230,5000
sul,1,15,1250
sul,2,130,2600
sul,3,183,2100
sul,3,100,2500
sul,3,380,4900
sul,,,2350
sul,1,60,1500
sul,3,150,2800
sul,3,260,2500
sul,,139,4000
sul,4,350,18100
sul,2,54,1500
sul,2,80,2000
sul,4,135,3800
sul,1,110,2700
sul,3,155,3200
sul,,,2500
sul,2,115,3500
sul,5,266,3900
sul,2,280,7000
sul,2,120,1920
sul,,300,15000
sul,2,69,2300
sul,3,160,2700
sul,,230,4000
sul,,,5000
sul,3,199,6000
sul,4,221,3500
sul,,523,28100
sul,4,333,4000
sul,2,140,4000
sul,1,60,2500
sul,4,609,9000
sul,3,150,4500
sul,2,71,3500
sul,,450,15000
sul,3,104,3800
sul,,270,15000
sul,4,678,10000
sul,2,210,6000
sul,3,120,3500
sul,3,300,9500
sul,3,150,4000
sul,3,182,4800
sul,3,300,5000
sul,5,1300,42000
sul,2,160,15000
sul,4,199,3000
sul,3,275,7500
sul,5,1300,43000
sul,4,302,18000
sul,3,150,3500
sul,,430,25000
sul,,750,28000
sul,5,530,12000
sul,4,871,35000
sul,,350,11000
sul,,1000,48000
sul,5,750,28000
sul,4,280,12000
sul,5,600,30000
sul,4,417,11007
sul,5,465,15000
sul,5,575,18000
sul,4,600,25000
sul,5,290,16000
sul,4,415,15000
sul,3,250,11000
sul,4,468,15000
sul,,348,15000
sul,4,793,11000
sul,4,200,12000
sul,,350,12000
sul,4,280,9000
sul,3,250,7000
sul,5,572,13000
sul,3,400,12000
sul,,300,12000
sul,,300,10900
sul,,300,7500
sul,,400,20000
sul,1,210,15000
sul,3,360,11500
sul,4,707,10000
sul,3,135,4500
sul,5,370,12000
sul,2,180,7300
sul,5,280,7500
sul,5,1000,47000
sul,,596,35000
sul,5,400,15000
sul,,650,37999
sul,2,990,80000
sul,4,543,20000
sul,,281,12000
sul,4,464,12000
sul,,139,7000
sul,4,296,12000
sul,4,363,12000
sul,3,360,12000
sul,,100,4400
sul,5,900,39000
sul,5,900,48000
sul,5,434,45000
sul,3,445,20000
sul,5,900,48000
sul,,434,50000
sul,4,434,45000
sul,,350,14800
sul,,300,7400
sul,4,500,13000
sul,,171,11000
sul,4,240,2500
sul,1,60,1100
sul,3,125,3500
sul,4,945,11000
sul,,219,11000
sul,4,650,11000
sul,,296,15000
sul,3,340,10000
sul,4,430,15500
sul,3,260,12000
sul,4,430,30000
sul,1,60,2300
sul,,140,8000
sul,,480,20000
sul,4,300,12600
sul,,85,5000
sul,3,170,5000
sul,3,120,1700
sul,1,350,13000
sul,4,610,12000
sul,3,204,7000
sul,,354,30000
sul,5,600,40000
sul,,290,12000
sul,3,200,2500
sul,3,146,2800
sul,4,720,25000
norte,2,60,2000
norte,1,46,1350
norte,2,70,850
norte,1,160,700
norte,1,70,600
norte,1,40,720
norte,5,150,2000
norte,1,50,820
norte,02,58,1500
norte,1,90,1000
norte,1,30,1390
norte,1,40,800
norte,2,42,1100
norte,,30,770
norte,2,50,1700
norte,1,30,550
norte,2,45,950
norte,1,90,900
norte,2,80,1200
norte,1,42,1000
norte,3,100,1800
norte,2,40,1000
norte,1,30,1300
norte,1,40,750
norte,2,75,1200
norte,1,40,850
norte,1,30,600
norte,2,45,850
norte,3,120,1800
norte,3,160,2500
norte,1,50,550
norte,2,75,1550
norte,2,100,1800
norte,2,80,1800
norte,1,30,700
norte,2,80,1150
norte,2,70,1200
norte,2,70,1400
norte,2,180,3500
norte,2,100,1400
norte,2,55,1300
norte,3,200,2000
norte,,700,8000
norte,,150,3500
norte,4,400,7200
norte,2,84,1800
norte,2,95,1900
norte,3,250,2500
norte,1,110,1100
norte,2,64,950
norte,3,300,5000
norte,3,238,2300
norte,3,200,3000
norte,1,48,850
norte,2,125,1100
norte,2,200,1600
norte,5,568,6000
norte,2,150,2800
norte,3,225,3000
norte,3,120,2700
norte,2,60,1250
norte,2,60,2000
norte,2,45,1400
norte,3,225,3000
norte,4,202,3000
norte,3,240,4000
